profile,n,k,r,block_width,batch_size,lut_table_bytes,cache_level_fit,cache_level_ordinal,table_lookups_per_codeword,theoretical_ops,counter_mode,perf_available,perf_event_paranoid,typeperf_available,counter_events,l1_misses_per_bit,l2_misses_per_bit,llc_misses_per_bit,cycles_per_bit,notes,l1d_bytes,l2_bytes,l3_bytes
bch_511_484_r27,511,484,27,4,100,8192,L1,1,128,3968,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,17,100000,16252928,L3,3,31,1364,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,18,100,30408704,DRAM,4,29,1305,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,18,1000,30408704,DRAM,4,29,1305,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,18,100000,30408704,DRAM,4,29,1305,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,19,100,56623104,DRAM,4,27,1242,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,19,1000,56623104,DRAM,4,27,1242,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,19,100000,56623104,DRAM,4,27,1242,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,20,100,109051904,DRAM,4,26,1222,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,20,1000,109051904,DRAM,4,26,1222,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,20,100000,109051904,DRAM,4,26,1222,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,21,100,209715200,DRAM,4,25,1200,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,21,1000,209715200,DRAM,4,25,1200,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,21,100000,209715200,DRAM,4,25,1200,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,22,100,402653184,DRAM,4,24,1176,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,22,1000,402653184,DRAM,4,24,1176,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,22,100000,402653184,DRAM,4,24,1176,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,23,100,771751936,DRAM,4,23,1150,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,23,1000,771751936,DRAM,4,23,1150,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,23,100000,771751936,DRAM,4,23,1150,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_511_484_r27,511,484,27,24,100,1476395008,DRAM,4,22,1122,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
