profile,n,k,r,block_width,batch_size,lut_table_bytes,cache_level_fit,cache_level_ordinal,table_lookups_per_codeword,theoretical_ops,counter_mode,perf_available,perf_event_paranoid,typeperf_available,counter_events,l1_misses_per_bit,l2_misses_per_bit,llc_misses_per_bit,cycles_per_bit,notes,l1d_bytes,l2_bytes,l3_bytes
bch_255_239_r16,255,239,16,20,100,27262976,DRAM,4,13,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,20,1000,27262976,DRAM,4,13,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,20,100000,27262976,DRAM,4,13,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,21,100,54525952,DRAM,4,13,481,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,21,1000,54525952,DRAM,4,13,481,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,21,100000,54525952,DRAM,4,13,481,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,22,100,100663296,DRAM,4,12,456,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,22,1000,100663296,DRAM,4,12,456,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,22,100000,100663296,DRAM,4,12,456,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,23,100,201326592,DRAM,4,12,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,23,1000,201326592,DRAM,4,12,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,23,100000,201326592,DRAM,4,12,468,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,24,100,369098752,DRAM,4,11,440,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,24,1000,369098752,DRAM,4,11,440,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
bch_255_239_r16,255,239,16,24,100000,369098752,DRAM,4,11,440,cache_fit_fallback,no,not_found,yes,,,,,,hardware cache-miss counters unavailable; using cache-fit boundary fallback,32768,1048576,16777216
