preset,code_profile,n,r,backend,block_width,batch_size,density,lut_bytes,fits_l1,fits_l2,fits_l3,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,bch_255_239_r16,255,16,Naive.apply_many,20,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,20,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,20,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,20,64,0.005,25231360,False,False,False,1.4536459881734725,0.687925401463471,1.4536459881734725e-06,1.028435139161189e-06,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,4,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4,4096,0.005,2032,True,True,True,0.6829101550920313,1.464321466804424,6.829101550920313e-07,5.0469337836709493e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,6,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,6,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,6,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
