preset,workload_type,code_profile,n,r,num_blocks,window_len,num_iterations_or_steps,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,backend_or_method,block_width,batch_size,density,total_runtime_s,latency_per_component_us,throughput_Mcomponent_s,mean,std,repeats,correctness_passed,notes
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,3,1536,0,0,1536,Naive.apply_many,8,64,0.05,0.0021763333158257105,5.6675346766294545,0.17644356092316157,0.0021763333158257105,3.2557074794112744e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,3,1536,0,0,1536,PackedBatch.apply_many,8,64,0.05,0.002215666677026699,5.7699653047570285,0.17331126743094163,0.002215666677026699,0.00013644695144662177,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,3,1536,0,0,1536,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0005271666644451519,1.3728298553259164,0.7284223868824554,0.0005271666644451519,6.603312882518089e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,4,3,1536,0,0,1536,EventUpdate.integrated,8,64,0.05,0.0013451333506964147,3.502951434105247,0.2854735553179111,0.0013451333506964147,7.811351789959295e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,1,1024,0,0,1024,Naive.apply_many,8,64,0.05,0.0008174999966286123,6.386718723661033,0.156574924193119,0.0008174999966286123,0.0001836046860637108,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,1,1024,0,0,1024,PackedBatch.apply_many,8,64,0.05,0.0006973666604608297,5.448177034850232,0.18354763319975145,0.0006973666604608297,4.308484401640937e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,1,1024,0,0,1024,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00015080000351493558,1.1781250274604342,0.848806346263265,0.00015080000351493558,2.5631933903830328e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,1,1024,0,0,1024,EventUpdate.integrated,8,64,0.05,0.00039713333050409955,3.1026041445632777,0.32230988982345987,0.00039713333050409955,7.879935440983509e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,3,3072,0,0,3072,Naive.apply_many,8,64,0.05,0.002351033346106609,6.122482672152627,0.1633324344956302,0.002351033346106609,0.00018580717243856692,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,3,3072,0,0,3072,PackedBatch.apply_many,8,64,0.05,0.0022749333293177187,5.924305545098226,0.16879615549663884,0.0022749333293177187,0.0003159492270204884,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,3,3072,0,0,3072,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0004920999829967817,1.2815103723874524,0.7803292283440525,0.0004920999829967817,2.0593921903468388e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,8,8,3,3072,0,0,3072,EventUpdate.integrated,8,64,0.05,0.0014004333255191643,3.646961785206157,0.2742008441263312,0.0014004333255191643,3.818852997395955e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,1,512,0,0,512,Naive.apply_many,8,64,0.05,0.0008165000084166726,6.378906315755255,0.15676668546300812,0.0008165000084166726,2.4856207597419016e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,1,512,0,0,512,PackedBatch.apply_many,8,64,0.05,0.0007920333300717175,6.187760391185293,0.16160936054093808,0.0007920333300717175,3.76815929358059e-05,3,True,trace-level workload only; no BER; no full decoder
