task,mode,batch_size,direct_median_Mbit_s,lut_median_Mbit_s,lut_vs_direct_median,direct_min_Mbit_s,lut_min_Mbit_s,lut_vs_direct_min,direct_cv,lut_cv
syndrome,bulk,300,18.60162862621393,436.5450292133809,23.4681079805125,18.48674477880203,433.1821755998584,23.4320417565655,0.008734197331439677,0.010894164107396739
syndrome,bulk,500,20.150570387733808,491.42944780440905,24.387867854279467,17.992210576893257,489.8194334782375,27.223971806293488,0.15147867570189485,0.004633226815892696
syndrome,bulk,700,16.433256216869943,501.4936275767343,30.51699681174047,16.388626130779883,492.5497157307183,30.0543628123683,0.0038407770319826774,0.02522185873911214
syndrome,bulk,1000,18.235141481511782,490.7193018167129,26.910638577399723,17.408995320577116,461.4549262386982,26.506694828808808,0.06407118400922944,0.08433757686643117
syndrome,bulk,1500,18.554163899009758,501.76531672730283,27.04327284475924,18.25165818197263,453.0916708494085,24.824685315273562,0.023057233409053846,0.13718550851547506
syndrome,bulk,2000,18.064992631755945,517.2297454597311,28.631605669769687,17.637721185689042,499.3635106471622,28.312246541936357,0.03344884142274046,0.04884999712848981
syndrome,bulk,3000,17.610360317611608,234.00301512082876,13.287803934755905,17.027357303655545,224.1035835422649,13.161383739457493,0.046818506513833534,0.05982790602488858
syndrome,bulk,5000,17.920411037605014,244.6163928480043,13.650155252281325,17.517249345542282,234.65538171424333,13.395675147705623,0.031816052184738305,0.05758811531926778
syndrome,bulk,7000,17.7042803950822,220.09023367892885,12.43147017373631,17.516245450451276,218.4688806582452,12.47235780500077,0.015020185116984058,0.010418178911974663
syndrome,bulk,10000,17.387644413275876,131.2560265307959,7.548810144206701,17.317499022762878,131.12090372965832,7.571584300787734,0.005705232994395545,0.0014558759929379599
syndrome,bulk,30000,17.372843750095583,115.5454277552075,6.65092194561249,17.126879733032286,113.88809479244158,6.649669792028012,0.020022378246783493,0.020284859373900236
syndrome,bulk,100000,17.528148783682212,112.98841788141921,6.446112437532793,17.313329715307155,112.2868696164538,6.485573339320057,0.017332123528936542,0.008780891790295196
syndrome,bulk,300000,35.745401903122044,231.09136450154472,6.464925618345361,35.745401903122044,231.09136450154472,6.464925618345361,,
syndrome,stream_chunked,10,32.93765641690457,54.060355393829305,1.6412933181877492,32.278473058111864,52.68592940904816,1.632231156479929,0.028302743652910432,0.03595484813215569
syndrome,stream_chunked,30,35.7817382132809,129.77112267991455,3.6267417168612606,35.63111234853673,129.66105300410808,3.638984147780413,0.005953236242903242,0.0011995120726162475
