preset,code_profile,n,r,cache_profile,workload_type,batch_size,density_or_weight,output_mode,selected_backend,selected_block_width,selection_reason,lut_bytes,fits_l1,fits_l2,fits_l3,oracle_best_backend,oracle_best_block_width,selected_latency_us,oracle_best_latency_us,planner_over_oracle,correctness_passed
lightweight,ebch_256_239_r17,256,17,small_l2_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,62.30000872164965,62.30000872164965,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,6,519.299996085465,474.0000003948808,1.0955696110819526,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,8,2026.0000019334257,2021.5999684296548,1.0021765104731322,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,PackedBatchGF2Kernel,0,69.40000457689166,28.600043151527643,2.4265699254088267,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,575.0999553129077,220.9999947808683,2.6022623026898524,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,9286.299988161772,2723.7999602220953,3.409317910190651,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,34206.89998893067,10898.69998395443,3.1386220410958785,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,12.60003773495555,12.60003773495555,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,16.50000922381878,16.50000922381878,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,74.49998520314693,74.49998520314693,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,258.30004597082734,258.30004597082734,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,7.800001185387373,7.800001185387373,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,NaiveGF2Kernel,0,71.00001676008105,14.199991710484028,5.000004099133443,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,356.39997804537416,69.00000153109431,5.165216958506375,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,6200.200004968792,578.1999789178371,10.723279541748042,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,24596.800038125366,2051.5999640338123,11.989081921099112,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,20.199979189783335,20.199979189783335,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,63.2999581284821,63.2999581284821,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,531.0999695211649,531.0999695211649,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,1978.499989490956,1978.499989490956,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,PackedBatchGF2Kernel,0,78.60001642256975,35.39997851476073,2.2203407945514964,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,609.3999836593866,218.99997955188155,2.7826485870288336,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,8462.90000481531,2752.100001089275,3.0750699471188234,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,37899.49999190867,10699.099977500737,3.542307303568335,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,12.400036212056875,12.400036212056875,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,16.900012269616127,16.900012269616127,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,78.4999574534595,78.4999574534595,1.0,True
lightweight,ebch_256_239_r17,256,17,large_l3_profile,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,258.09998624026775,258.09998624026775,1.0,True
