profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,19,1000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.018246600055135787,0.009776700055226684,0.028375099995173514,0.05728189996443689,319.5088240594186,1.2529757806251711,3.1298040138447987,0.0007981000235304236,0.0005197999998927116,0.0008653999539092183,9.400037180856861e-05,0.12272550370101827,0.000519799999893;0.000579299987294;0.000728700077161;0.000865399953909;0.00079810002353;0.000803099945188;0.000775100081228;0.000805699964985;0.000804099952802;0.000767800025642;0.000800200039521;0.000780999893323;0.000795100000687;0.000844300026074;0.000821399968117,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,19,10000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.016111899982206523,0.09435179992578924,0.5633433000184596,0.680163300014101,238.0841216273537,0.9336632220680536,4.200196103649397,0.010710500064305961,0.008905900060199201,0.015305300010368228,0.0018575293831231676,0.16135545550284378,0.0153053000104;0.0105439000763;0.0131874999497;0.0109437999781;0.0102757000132;0.0104938000441;0.0101972999983;0.00992330000736;0.0089059000602;0.00980719993822;0.0107105000643;0.0126217999496;0.0135948000243;0.0141274000052;0.0120422999607,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,19,100000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.014358600019477308,0.9760285000083968,5.751180399907753,6.793211200041696,211.04047937323767,0.8276097230323045,4.738427447520342,0.12082989991176873,0.10663389996625483,0.1341921000275761,0.007761571986371332,0.06453442785295183,0.131814599968;0.122145899921;0.129476300091;0.115632900037;0.117602700018;0.124359400012;0.123390899971;0.120829899912;0.134192100028;0.121875399956;0.112116200035;0.116297499975;0.116943000001;0.106633899966;0.110743100056,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,19,300000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.015070900088176131,3.807507999939844,17.40936559997499,21.372257999959402,202.10698508849686,0.7925764121117523,4.947874510928599,0.3785124000860378,0.3564756999257952,0.4006984999869019,0.014045851171513312,0.03699361826969993,0.400514599984;0.378512400086;0.374651700025;0.377717199968;0.370774000068;0.391993699945;0.400698499987;0.369655200047;0.356475699926;0.395001800032;0.390876899939;0.368826800026;0.379755000002;0.382474199985;0.357318599941,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,20,100,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.025407499982975423,0.001011700020171702,0.004088799934834242,0.030815299949608743,284.2809854889639,1.1148273940743683,3.5176464520833073,8.969998452812433e-05,8.79999715834856e-05,9.450002107769251e-05,2.0566628768352987e-06,0.022737279760479137,9.33000119403e-05;9.23000043258e-05;8.86999769136e-05;8.91999807209e-05;8.8999979198e-05;8.98001017049e-05;9.04001062736e-05;8.96999845281e-05;8.79999715835e-05;8.93999822438e-05;9.45000210777e-05;9.40000172704e-05;9.01999883354e-05;8.86999769136e-05;8.95999837667e-05,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,20,1000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.023826699936762452,0.00903039996046573,0.02583220007363707,0.05941089999396354,466.6056977602458,1.8298262657264541,2.1431371387021216,0.000546499970369041,0.0005130000645294785,0.00076149997767061,5.8944423844534336e-05,0.10486590030076043,0.000587400048971;0.000531499972567;0.000546499970369;0.000530800083652;0.000563199981116;0.000550900003873;0.000545699964277;0.000761499977671;0.000577399972826;0.000559800071642;0.000570499920286;0.000538200023584;0.000528000062332;0.000526999938302;0.000513000064529,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,20,10000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.027522800024598837,0.09084179997444153,0.5592480999184772,0.6817822000011802,227.59322433774514,0.8925224483833142,4.393803914461066,0.011204199981875718,0.010317399981431663,0.01597790000960231,0.0014158246395905207,0.12204024143371886,0.0132848999929;0.0159779000096;0.0117382999742;0.0109536999371;0.011421800009;0.0118842000375;0.0109159999993;0.0109039000235;0.0118256000569;0.0103383000242;0.0103173999814;0.0107804000145;0.0109392999439;0.0112041999819;0.0115335000446,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,20,100000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.022167299990542233,0.9731683999998495,5.851028500008397,6.890223500085995,202.82459085898012,0.7953905523881574,4.9303686291928965,0.12572440004441887,0.11453079991042614,0.14312880008947104,0.008977304517506612,0.06982634090117029,0.143128800089;0.121270199888;0.118613400031;0.125724400044;0.11453079991;0.138510000077;0.137246300001;0.1318472001;0.119296399993;0.130755000049;0.122126100003;0.124814199982;0.138121500029;0.13905940007;0.123448699946,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,20,300000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.03133469994645566,2.9766114000231028,16.998337600030936,20.159999799914658,203.644355507928,0.7986053157173646,4.9105215683774235,0.37565489998087287,0.3660313000436872,0.40817009995225817,0.011507196724312021,0.030344990095990263,0.370634099934;0.372207500041;0.369807599927;0.37875620008;0.379486699938;0.408170099952;0.393469900009;0.385200400022;0.378403599956;0.37308229995;0.366031300044;0.394089199952;0.372776100063;0.370416200021;0.375654899981,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,21,100,255,16,54525952,DRAM,481,449.2857142857143,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.04322979995049536,0.0008937000529840589,0.006837699911557138,0.05131969996728003,327.3427005003318,1.2836968647071834,3.054902395781349,7.790001109242439e-05,7.639999967068434e-05,0.0002012000186368823,4.283511994658943e-05,0.43617326188028777,7.7800010331e-05;7.63999996707e-05;0.00013229995966;8.23000445962e-05;7.7800010331e-05;7.79000110924e-05;7.75998923928e-05;7.73000065237e-05;7.73000065237e-05;7.72000057623e-05;7.80000118539e-05;0.000201200018637;8.60999571159e-05;7.93000217527e-05;0.000194599968381,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
