profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,syndrome,2000,1,14,255,16,63750.0,False,True,0.0008342998335137,5,0.000193600077182,23.20509598649621,0.0005751000717282,68.9320611878942,4.279986023902893e-05,5.130033414818028,2.12998129427433e-05,2.553016563965439,5.00003807246685e-07,0.0599309489420408
bch_255_239_r16,syndrome,3000,1,14,255,16,95625.0,False,True,0.0012696998892351,5,0.0002866999711841,22.580136740566918,0.0009041999001055,71.21367086597438,6.0300109907984734e-05,4.749162413828861,2.899998798966408e-05,2.2840033487860008,7.00005330145359e-07,0.0551315579437441
bch_255_239_r16,syndrome,5000,1,14,255,16,159375.0,False,True,0.0021621999330818,5,0.0004660002887248,21.55213685816239,0.0015323999105021,70.87225778968313,9.970006067305805e-05,4.611047255512203,4.280020948499441e-05,1.9794751091306184,1.400010660290718e-06,0.0647493619285812
bch_255_239_r16,syndrome,7000,1,14,255,16,223125.0,False,True,0.0030272998847067,5,0.0006706998683512,22.15505215520444,0.0021554998820647,71.20206005866413,0.0001301001757383,4.297564849639529,5.579995922744274e-05,1.8432253609671136,1.600012183189392e-06,0.0528527811622597
bch_255_239_r16,syndrome,10000,1,14,255,16,318750.0,False,True,0.0086753001669421,5,0.0012464000610634,14.367226921011454,0.0071106000104919,81.96373466807906,0.0001915002940222,2.207419804930635,8.399994112551212e-05,0.968265529826848,1.899898052215576e-06,0.0219000843274019
bch_255_239_r16,syndrome,30000,1,14,255,16,956250.0,False,True,0.0263764999108389,5,0.0046520999167114,17.637290514044896,0.0209392998367548,79.38619569516958,0.0004358999431133,1.6526072245628107,0.0002195000415667,0.832180320773303,3.899913281202316e-06,0.0147855602312106
bch_255_239_r16,syndrome,100000,1,14,255,16,3187500.0,False,True,0.1028642000164836,5,0.0262279000598937,25.497597857846355,0.0741574998246505,72.09262290745184,0.0015922002494335,1.5478662636547724,0.00076389987953,0.7426294856788461,1.6099889762699604e-05,0.0156515967266742
bch_255_239_r16,syndrome,300000,1,14,255,16,9562500.0,False,True,0.3122962001943961,5,0.0794992999872192,25.45637761129757,0.2292787993792444,73.41709544865563,0.0051576001569628,1.651509097373712,0.0020905000856146,0.6693965806543086,4.270009230822325e-05,0.0136729464789016
bch_255_239_r16,syndrome,1000000,1,14,255,16,31875000.0,False,True,1.088904500473291,5,0.264650100027211,24.30425256872217,0.7740108000580221,71.0816053861105,0.0241310003912076,2.2160805085036506,0.0074321996653452,0.6825391631786678,0.0004676999524235,0.0429514206452712
bch_255_239_r16,syndrome,3000000,1,14,255,16,95625000.0,False,True,3.885386099573225,5,0.8736370002152398,22.485204245498306,2.8961453998927027,74.53944925089475,0.0727710999781265,1.8729438494187192,0.0229503997834399,0.5906851776187914,0.0015876999823376,0.0408633773233514
bch_255_239_r16,parity,10,1,14,239,16,298.75,True,True,5.2999937906861305e-05,5,1.1299969628453256e-05,21.320722390866,3.1199888326227665e-05,58.86778279072015,3.700028173625469e-06,6.981193412202976,6.299931555986404e-06,11.886677239240356,3.00002284348011e-07,0.5660427090975386
bch_255_239_r16,parity,30,1,14,239,16,896.25,True,True,6.2700011767447e-05,5,1.2899632565677166e-05,20.573572798553258,3.849982749670744e-05,61.40322212299174,4.300032742321491e-06,6.858105159964277,6.6997017711400986e-06,10.685327773125705,3.00002284348011e-07,0.4784724530207635
bch_255_239_r16,parity,100,1,14,239,16,2987.5,True,True,8.82000895217061e-05,5,1.8600025214254856e-05,21.088442557280374,5.640008021146059e-05,63.94560427014135,5.400041118264198e-06,6.122489384702092,7.1999384090304375e-06,8.163187189575956,3.00002284348011e-07,0.3401382991501162
bch_255_239_r16,parity,300,1,14,239,16,8962.5,True,True,0.0001618000678718,5,3.50000336766243e-05,21.63165574464044,0.0001097000204026,67.79973695040911,8.500064723193645e-06,5.253437056607466,8.100061677396297e-06,5.006216489237703,4.00003045797348e-07,0.2472205673697631
bch_255_239_r16,parity,500,1,14,239,16,14937.5,True,True,0.000227800104767,5,5.13000413775444e-05,22.51976197728113,0.0001541000092402,67.64703176838779,1.2599979527294636e-05,5.531156159992805,9.7999582067132e-06,4.301998990181869,4.00003045797348e-07,0.1755938814015621
bch_255_239_r16,parity,700,1,14,239,16,20912.5,True,True,0.0003003999590873,5,6.749993190169334e-05,22.470020337806,0.0002019999083131,67.24365373645179,1.7799902707338333e-05,5.925401175624396,1.1900090612471104e-05,3.961415523698504,4.00003045797348e-07,0.1331568243260001
bch_255_239_r16,parity,1000,1,14,239,16,29875.0,True,True,0.0003900000592693,5,8.700019679963589e-05,22.307739378969128,0.0002692001871764,69.02567852958516,2.389971632510424e-05,6.128131459743439,1.340010203421116e-05,3.435923076349037,4.00003045797348e-07,0.1025648679507175
bch_255_239_r16,parity,1500,1,14,239,16,44812.5,False,True,0.0006023999303579,5,0.0001288000494241,21.381152774642796,0.0004223997239023,70.11948418575744,3.2100011594593525e-05,5.328687799734703,1.650000922381878e-05,2.739045672534329,5.00003807246685e-07,0.0830019696299754
