profile,task,backend,baseline_role,output_mode,batch_size,input_width,output_width,processed_bits,median_runtime_s,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,block_width,packed_word_bits,correctness_passed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1000,239,16,239000,0.005931199993938208,40.29538714665873,0.16859994622032942,0.0060727999662;0.00593119999394;0.00587900000392,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1000,239,16,239000,0.0005001999670639634,477.8089079110989,1.999200451510874,0.00052100000903;0.000497800006997;0.000500199967064,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1000,239,16,239000,0.0004349999944679439,549.4252943435667,2.298850603947978,0.000433599983808;0.000443500000983;0.000434999994468,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10000,239,16,2390000,0.0577037000330165,41.418487872224944,0.17329911243608762,0.0601292999927;0.0572544999886;0.057703700033,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10000,239,16,2390000,0.05849070003023371,40.861196716138025,0.17096735027672813,0.0574389999965;0.0601661999826;0.0584907000302,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10000,239,16,2390000,0.0060047999722883105,398.0149232330246,1.6653344068327387,0.00545880000573;0.0063744999934;0.00600479997229,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10000,239,16,2390000,0.0047085999976843596,507.58187171885004,2.1237735218361924,0.00475229998119;0.00434290000703;0.00470859999768,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,100000,239,16,23900000,0.6016571999643929,39.7236167063478,0.16620760128178996,0.601657199964;0.639179299993;0.58748029999,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,100000,239,16,23900000,0.4948716000071727,48.29535580472509,0.2020726184298121,0.466509799997;0.494871600007;0.500334299984,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,100000,239,16,23900000,0.09193369996501133,259.96995670897616,1.0877404046400676,0.091933699965;0.10324029997;0.0898062000051,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,100000,239,16,23900000,0.15979740000329912,149.56438590056266,0.6257924096257852,0.159797400003;0.137301100011;0.182903000037,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1000000,239,16,239000000,5.177275000023656,46.16328087631196,0.19315180282975714,5.02842469997;5.25126330002;5.17727500002,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1000000,239,16,239000000,5.251014499983285,45.51501428928844,0.1904393903317508,5.44805810001;5.20248520002;5.25101449998,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1000000,239,16,239000000,0.7704327999963425,310.21524525063654,1.297971737450362,0.770432799996;0.803910200018;0.74812600005,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1000000,239,16,239000000,1.476413800031878,161.87873616112205,0.6773168877034396,1.51862480002;1.36977620004;1.47641380003,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
ebch_256_239_r17,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1,256,17,256,1.8900027498602867e-05,13.544953837708654,0.05290997592854943,2.07000412047e-05;1.89000274986e-05;1.87000259757e-05,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
ebch_256_239_r17,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1,256,17,256,1.829996472224593e-05,13.989098005680823,0.054644914084690716,1.82999647222e-05;1.75000168383e-05;1.84000236914e-05,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
ebch_256_239_r17,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1,256,17,256,0.0001742999884299934,1.4687321686359203,0.0057372350337340635,0.00017429998843;0.000148000020999;0.000186699966434,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
ebch_256_239_r17,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1,256,17,256,0.0004284000024199486,0.5975723589026741,0.002334267026963571,0.000516699976288;0.00042840000242;0.000200499955099,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
ebch_256_239_r17,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10,256,17,2560,6.530003156512976e-05,39.203656394050526,0.15313928278925987,6.53000315651e-05;6.44999672659e-05;7.76000088081e-05,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
ebch_256_239_r17,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10,256,17,2560,6.390002090483904e-05,40.062584702630915,0.156494471494652,6.39000209048e-05;6.42000231892e-05;6.36999611743e-05,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
ebch_256_239_r17,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10,256,17,2560,0.0001534000039100647,16.688395924037106,0.06518904657826995,0.000180600036401;0.000148800027091;0.00015340000391,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
ebch_256_239_r17,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10,256,17,2560,0.00022520002676174045,11.367671828513842,0.044404968080132196,0.000225200026762;0.00021539995214;0.000334400043357,1,3,8,32,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
