index,profile,task,mode,backend,batch_size,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,throughput_cv
31,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,300000,229.2135003705677,229.2135003705677,229.2135003705677,,1,
32,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,10,34.91337374497637,33.61464652109558,36.21210096885716,1.8366776538353708,2,0.052606707883670153
33,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,30,37.54100615358014,37.28550094599732,37.79651136116296,0.3613389298205791,2,0.009625179685977052
34,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,100,38.57575906515008,36.92259932733422,40.228918802965936,2.337920921988335,2,0.060605960288165735
35,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,300,18.49400803142325,18.122077707541173,18.86593835530532,0.5259889082918455,2,0.028441044656092693
36,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,500,28.855039805236597,18.29454982824373,39.41552978222946,14.934788150768446,2,0.5175798838460826
37,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,700,18.416918483477563,16.322588123324735,20.51124884363039,2.961830399417858,2,0.1608211711462488
38,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,1000,18.511296229288916,17.980740388908803,19.04185206966903,0.7503192650618117,2,0.04053304834885861
39,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,1500,17.052073224931725,13.579494030377193,20.52465241948626,4.910968593353658,2,0.2879983289171761
40,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,2000,16.763671549866444,16.076737851386486,17.450605248346402,0.9714709528414671,2,0.05795096557169225
41,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,3000,17.737416273999646,17.52632004324594,17.948512504753353,0.29853515249773316,2,0.016830813906946542
42,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,5000,16.361023582916733,15.427018592657747,17.29502857317572,1.3208825245484088,2,0.08073348943324063
43,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,7000,17.78390756060665,17.277685338219875,18.290129782993425,0.7159063324740261,2,0.04025585097281089
44,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,10000,17.59676414087248,17.343800581018407,17.84972770072655,0.35774449713180784,2,0.020330129691337115
45,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,30000,17.388782970423946,17.23037881631134,17.54718712453655,0.22401730308228182,2,0.012882862674363471
46,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,100000,17.353910723592612,17.30483870793369,17.402982739251538,0.06939831007783356,2,0.003999001215529286
47,bch_255_239_r16,parity,stream_chunked,PackedBatchGF2Kernel.apply_many,300000,35.77227757413065,35.77227757413065,35.77227757413065,,1,
48,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,10,54.456672916307745,52.41228302935147,56.50106280326402,2.8912039049119618,2,0.05309182052593143
49,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,30,133.47892421704586,124.69571252212398,142.2621359119677,12.421337100152464,2,0.0930584148247593
50,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,100,292.5186368888491,282.5057027624537,302.5315710152445,14.160427240696764,2,0.048408632664582764
51,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,300,469.0986357636031,466.79685848899584,471.4004130382104,3.2552046393117884,2,0.006939275434073553
52,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,500,510.46505180614065,493.8016935756055,527.1284100366757,23.565547204304092,2,0.046164859123898616
53,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,700,515.0134265583844,513.1903081155783,516.8365450011904,2.5782788276288318,2,0.005006236138071918
54,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,1000,542.41384937828,538.1670727583956,546.6606259981643,6.005849092209329,2,0.01107244790872005
55,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,1500,511.53881936632376,508.58276878735006,514.4948699452975,4.18048681984551,2,0.008172374532638891
56,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,2000,394.6611129236761,367.805478469212,421.51674737814017,37.97960247163726,2,0.09623345505282191
57,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,3000,378.52300256703404,232.3094878738188,524.7365172602493,206.77713548138286,2,0.5462736321942916
58,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,5000,274.2498161498071,252.06184422309377,296.4377880765204,31.378530820311465,2,0.11441586820671251
59,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,7000,283.1364502846609,274.12747732187387,292.1454232474479,12.74061174702594,2,0.04499813335307669
60,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,10000,264.256046967607,257.9879103854355,270.5241835497785,8.864483765313883,2,0.03354505551352817
61,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,30000,268.26340161519784,263.7144388287782,272.8123644016175,6.433204867285196,2,0.023980926315521445
62,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,100000,253.32741137662063,247.33673178485208,259.3180909683892,8.472100326510807,2,0.033443283063889905
63,bch_255_239_r16,parity,stream_chunked,PackedBlockLUTKernel.apply_many_packed,300000,506.3702366508678,506.3702366508678,506.3702366508678,,1,
64,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,10,35.812554773107166,33.508542543759006,38.11656700245533,3.258365342617638,2,0.09098388437410371
65,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,30,38.49388980070795,38.13559054586944,38.85218905554645,0.5067116655807871,2,0.01316343108488527
66,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,100,36.8709088332076,36.24733466765536,37.49448299875984,0.881867042069466,2,0.023917692022693424
67,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,300,18.60162862621393,18.48674477880203,18.71651247362583,0.16247029510750963,2,0.008734197331439677
68,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,500,20.150570387733808,17.992210576893257,22.30893019857436,3.0523817169717353,2,0.15147867570189485
69,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,700,16.433256216869943,16.388626130779883,16.477886302960002,0.06311647303844062,2,0.0038407770319826774
70,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,1000,18.235141481511782,17.408995320577116,19.06128764244645,1.1683471052962742,2,0.06407118400922944
71,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,1500,18.554163899009758,18.25165818197263,18.85666961604689,0.42780768772930855,2,0.023057233409053846
72,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,2000,18.064992631755945,17.637721185689042,18.49226407782285,0.6042530738425795,2,0.03344884142274046
