matrix_source,workload_type,backend_or_method,batch_size,density,flip_count,mean_latency_per_word_us,mean_throughput_Mword_s,relative_to_best_from_scratch,correctness_all_true,num_rows
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,4,5.61991373615,0.177938674319,0.0910371786817,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,1,5.54734700131,0.180266350701,0.0829800281215,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,2,5.71336263988,0.175028273721,0.0751576081414,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,4,5.65156249858,0.176942217352,0.078362594084,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,1,5.67423503147,0.176235209584,0.102878451268,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,2,5.77831217186,0.173060916451,0.0796618213754,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,4,5.68679199849,0.175846065807,0.0846931781739,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,1,5.44479159241,0.183661758771,0.24402139552,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,2,5.49374999537,0.182025028595,0.227720918436,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,4,5.59322931319,0.178787591927,0.230282162157,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,1,5.41875003061,0.184544404955,0.231833939654,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,2,5.43541682418,0.183978530506,0.226331915735,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,4,5.67968769853,0.176066018605,0.240073312293,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,1,5.48697911048,0.18224964591,0.226293320645,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,2,5.71458349441,0.174990880959,0.224298217595,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,4,5.6322915043,0.177547628569,0.225171073149,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,1,82.7333230215,0.012087028098,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,2,85.9999951596,0.0116279076312,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,4,81.4333325252,0.0122799837486,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,1,75.6999943405,0.0132100406177,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,2,75.5999935791,0.013227514351,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,4,79.3333359373,0.0126050416031,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,1,122.333333517,0.0081743869087,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,2,101.399996007,0.00986193332716,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,4,92.9333230791,0.010760402909,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,1,4.3999995493,0.227272750553,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,2,4.34583247018,0.230105510707,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,4,4.150000071,0.240963851299,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,1,4.44166653324,0.225140719709,1,True,1
